Arabizi,English
chdid,strong
naa9S,low
mtnwwe3,various
mtnowwe3,various
7aaDir,present
7aDir,present
malaki,royal
khaT2,wrong
khaTi2,wrong
khaaT2,wrong
bo7do,individual
7aali,current
7ali,current
9aanouni,legal
9anouni,legal
9anoni,legal
7adit,modern
lkher,final
llekher,final
zwin,nice
mzyan,fine
mzian,fine
mezian,fine
9rib,close
m39ol,serious
m39oul,serious
saabi9,previous
sabi9,previous
mo3tabar,significant
ra2is,prime
Sinaa3i,industrial
Sina3i,industrial
mo7ddad,specific
monaasib,appropriate
monasib,appropriate
3aali,top
myyet,dead
mt2ssef,sorry
naaj7,successful
naj7,successful
7rbi,military
7arbi,military
7erbi,military
asaasi,basic
asasi,basic
wa3i,aware
waa3i,aware
mch8our,popular
mch8or,popular
mi8ani,professional
mobachir,direct
mobaachir,direct
mofid,useful
f33al,effective
f33aal,effective
wajd,ready
mDllem,dark
mDellem,dark
mDallem,dark
mosta9ill,independent
t9lidi,traditional
ghrbi,western
gherbi,western
gharbi,western
mo3tabar,considerable
bard,cold
baard,cold
ms2oul,responsible
ms2ol,responsible
kaml,complete
kaaml,complete
Tibbi,medical
skhoun,hot
skhon,hot
mo8imm,essential
mohimm,essential
dakari,male
awwali,primary
madani,civil
most9bali,future
by2i,environmental
bi2i,environmental
waD7,obvious
lkbir,senior
nawawi,nuclear
sanawi,annual
jihawi,regional
ji8awi,regional
tijari,commercial
tijaari,commercial
llekher,latter
taTbi9i,practical
3amali,practical
3ami9,deep
rsmi,official
rasmi,official
resmi,official
ra2isi,chief
montaDim,regular
m2louf,usual
m2lof,usual
zayd,additional
nachT,active
standar,standard
9wi,powerful
wasaT,middle
wsT,middle
gddami,front
mosta7il,impossible
mnzili,domestic
fi3li,actual
ti9ni,technical
3adi,ordinary
3aadi,ordinary
dakhili,internal
daakhili,internal
momtaz,excellent
momtaaz,excellent
Tri,fresh
b3id,far
mo7tamal,potential
chamali,northern
dini,religious
dyni,religious
diini,religious
ta9afi,cultural
ta9aafi,cultural
mochtarak,joint
bo7do,alone
aamin,safe
2aamin,safe
mo7afiD,conservative
mo7aafiD,conservative
chkli,formal
monasib,proper
bzzaf,very
9arawi,rural
mbda2i,initial
maghaddch,unable
mo3ddal,average
dafi,warm
daafi,warm
ghrib,strange
gharib,strange
mola2im,suitable
molaa2im,suitable
m7bob,lovely
m7boub,lovely
fawri,immediate
ijmali,overall
ijmaali,overall
msawi,equal
kafi,sufficient
dimo9raTi,democratic
dimou9raaTi,democratic
chr9i,eastern
cher9i,eastern
char9i,eastern
8adi2,quiet
8aadi2,quiet
t3limi,educational
t3liimi,educational
S7i7,correct
3ilmi,scientific
ontawi,female
39li,mental
khaTir,dangerous
7arij,critical
mDobl,double
mDoubl,double
sri3,quick
mamo7tamalch,unlikely
m2lof,familiar
m2louf,familiar
tarikhi,historical
taarikhi,historical
janoubi,southern
janobi,southern
mitaali,perfect
mitali,perfect
mSro3,perfect
mSrou3,perfect
yawmi,daily
mota7rrir,liberal
liberali,liberal
7aDari,urban
fogani,upper
fo9ani,upper
bayn,apparent
bayen,apparent
khaD3,subject
khaaD3,subject
sghiwwer,tiny
sghiwwr,tiny
mDwwi,bright
mDoowi,bright
akhla9i,moral
akhlaa9i,moral
badil,alternative
badiil,alternative
jddab,attractive
radd lbal,careful
7ayawi,vital
8amaji,wild
khawi,empty
damawi,bloody
khariji,external
charf,elderly
nisbi,relative
9dim,ancient
mkhtaSr,brief
mkhtaSer,brief
gadd,capable
9add,capable
namoudaji,typical
mtisse3,broad
mtiss3,broad
mDyye9,narrow
kollo,entire
ra2i3,wonderful
raa2i3,wonderful
tabt,constant
mitali,ideal
mitaali,ideal
akadimi,academic
9aaser,minor
9aaSir,minor
mamo8immch,minor
was3,vast
naadir,rare
nadir,rare
7aadd,severe
asaasi,fundamental
asasi,fundamental
daym,permanent
ra8ib,terrible
ra8iib,terrible
mriD,ill
ghliD,thick
maSiri,crucial
maSiiri,crucial
daakhili,inner
dakhili,inner
taab3,subsequent
mo3aSir,contemporary
mo3aaSir,contemporary
kbir,grand
sab9,prior
taanawi,secondary
tanawi,secondary
fchkel,odd
fchkl,odd
fchkal,odd
8a2il,massive
8aa2il,massive
haa2il,massive
bo7do,unique
7aadd,sharp
mriD,sick
choyou3i,communist
Saafi,net
mTwwel,long-term
modnib,guilty
chaamil,extensive
chamil,extensive
Dakhm,enormous
7yy,alive
7eyy,alive
7ayy,alive
zira3i,agricultural
ziraa3i,agricultural
ra2isi,principal
f33al,efficient
f33aal,efficient
mz8ar,lucky
mz8aar,lucky
3orfi,conventional
taTwwo3i,voluntary
taTawwo3i,voluntary
dramatiki,dramatic
mo299at,temporary
mow99at,temporary
da8abi,golden
7ibbi,friendly
m3tamd,dependent
tanafosi,competitive
tanaafosi,competitive
jdri,radical
jedri,radical
jadri,radical
7ssas,sensitive
7essas,sensitive
kharj,outside
khaarij,outside
khaarj,outside
5arj,outside
msTT7,flat
mseTTa7,flat
msaTTe7,flat
msaTTa7,flat
3aaTifi,emotional
3aTifi,emotional
khaT2,false
khaaTe2,false
monasib,adequate
monaasib,adequate
Si77i,healthy
chaamil,global
chamil,global
sri3,rapid
idaari,administrative
idari,administrative
skkouti,silent
skkoti,silent
l7dd,maximum
l7edd,maximum
D3if,weak
ml7ouD,remarkable
sirri,secret
3ziz,dear
jama3i,mass
fazg,wet
faazg,wet
9as7,solid
9ase7,solid
mota2lli9,brilliant
mt2elle9,brilliant
mt2alla9,brilliant
electroni,electronic
iliktroni,electronic
elektroni,electronic
moTla9,absolute
kaytchaf,visual
tlkhcheb,wooden
tlkhchab,wooden
Saarim,firm
Sarim,firm
tDDo,electric
kimya2i,chemical
saami,supreme
sami,supreme
adabi,literary
khaaliS,pure
9as7,rough
9aas7,rough
mojrrad,mere
aSiil,genuine
a9Saa,extreme
a9Sa,extreme
ba8t,pale
mntachr,widespread
mentacher,widespread
mntacher,widespread
katoliki,catholic
catoliki,catholic
klasiki,classical
classiki,classical
mofDDal,favorite
chtiraki,socialist
3rram,numerous
7lo,sweet
7low,sweet
7lou,sweet
mkhtalf,distinct
mkhtalef,distinct
tay9,confident
Dedd,opposite
mofid,helpful
S3ib,tough
mtnas9,consistent
mtnase9,consistent
sri3,fast
msta9err,stable
msta9arr,stable
goud,straight
kaykhle3,awful
stratiji,strategic
momtaz,outstanding
kliniki,clinical
a9all haja,minimum
a9all 7aja,minimum
wa3i,conscious
waa3i,conscious
msyTer,dominant
msiTer,dominant
bard,cool
dostouri,constitutional
dostori,constitutional
ghDban,mad
gheDban,mad
ghaDban,mad
naDari,theoretical
m8moum,anxious
mhmoum,anxious
m8mom,anxious
mo9ddas,holy
sakani,residential
monasib,fit
monaasib,fit
7eyy,live
7ayy,live
las9,accurate
mousi9i,musical
mosi9i,musical
fo9 l3ada,extraordinary
faw9 l3ada,extraordinary
fo9 l3aada,extraordinary
khari9 lil3ada,extraordinary
khar9 ll3ada,extraordinary
nazih,honest
nazi8,honest
d9i9,precise
bayn,visible
9lil,slight
dyal lflous,monetary
3an bo3d,remote
Sari7,plain
Sarii7,plain
b3id,distant
chomour,unemployed
chomor,unemployed
mchomer,unemployed
mchomr,unemployed
wagf,still
Drief,gentle
Driyef,gentle
nefsi,psychological
nfsi,psychological
SSghir,junior
mles,smooth
3anif,violent
3aniif,violent
haykali,structural
8aykali,structural
mdwwer,round
mdowwer,round
mdowwar,round
7ssas,sensible
mol99ab,so-called
mttaSel,continuous
9rib,near
momtann,grateful
zwin,pretty
waD7,evident
mawsimi,occasional
momti3,pleasant
kawni,universal
zamil,fellow
klasiki,classic
mossekh,dirty
mmossekh,dirty
kaykaafe2,equivalent
mrkhi,loose
mobdi3,creative
ni8aa2i,ultimate
loghawi,linguistic
taabt,steady
tabt,steady
fikri,intellectual
fa9d l2amal,desperate
9aDaa2i,judicial
tawri,revolutionary
imbraTouri,imperial
ghayr 9anoni,illegal
ghayr 9aanouni,illegal
ghayr 9aanoni,illegal
khaam,raw
khaariji,outer
khariji,outer
ghayr rsmi,informal
morr,bitter
marr,bitter
tjribi,experimental
jama3i,collective
kayt3awd,frequent
rou7i,spiritual
mcharji,intense
taarikhi,historic
tarikhi,historic
m39oul,rational
m39ol,rational
mamnasbch,inadequate
mamnasebch,inadequate
7add,acute
mnTi9i,logical
m9bol,valid
osbou3i,weekly
3chwa2i,random
mtwaD3,modest
mzyyer,tight
mzayyar,tight
mzeyyer,tight
automatic,automatic
na3s,asleep
na3es,asleep
dki,clever
dky,clever
ms2oul,liable
mes2oul,liable
motabaadal,mutual
motabadal,mutual
moDa3af,multiple
ti9a,reliable
bo7do,sole
nnawa7i,nearby
8aamichi,marginal
8amichi,marginal
mTab9,identical
bDDbT,exact
bDDebT,exact
bDDabT,exact
ntikhabi,electoral
momyyiz,distinctive
chafawi,oral
3ryan,bare
ri2aasi,presidential
ri2asi,presidential
3oDwi,organic
bl7sab,statistical
3ajil,urgent
3aajil,urgent
mrghoub,desirable
7Sri,exclusive
7eSri,exclusive
yawmi,everyday
ra2i3,superb
Saarim,strict
mamtwe99e3ch,unexpected
mamto99e3ch,unexpected
barii2,innocent
bari2,innocent
b7ri,marine
be7ri,marine
romansi,romantic
mSTane3,artificial
mo2ssasati,institutional
ra2i3,magnificent
bioloji,biological
biologi,biological
diplomasi,diplomatic
monaasib,convenient
monasib,convenient
8a2il,tremendous
8aa2il,tremendous
ra2smali,capitalist
ra2smaali,capitalist
khddam,functional
mikaniki,mechanical
mobaachir,straightforward
mami99ench,uncertain
mamty99ench,uncertain
r9mi,digital
mod8il,spectacular
3odwani,aggressive
3ryan,naked
machi 3aadil,unfair
mtfowwe9,superior
kolla ch8er,monthly
tchri3i,legislative
iDafi,spare
Sarii7,explicit
Sari7,explicit
mo2lim,painful
mtab3,successive
dki,intelligent
m9lle9,unhappy
m9alla9,unhappy
m9ll9,unhappy
jiini,genetic
maDarorich,unnecessary
mo2ttir,influential
ghir,just
hir,just
8ir,just
just,just
ji3an,hungry
mokttaf,intensive
stiwa2i,tropical
mowazi,parallel
mwazi,parallel
mabaynch,subtle
2aamin,secure
aamin,secure
lt7tani,bottom
ra2i3,marvelous
ftitaa7i,preliminary
iftitat7i,preliminary
joz2i,partial
a9all,lesser
mosa3id,assistant
3amoudi,vertical
3amodi,vertical
tdriiji,progressive
tdriji,progressive
9aarri,continental
kay3yyef,nasty
kay3yyf,nasty
raa9i,elegant
mlmous,concrete
melmous,concrete
mlmos,concrete
mo299at,interim
ilzami,compulsory
ilzaami,compulsory
mozmin,chronic
kaytkhlleS,payable
mn8aji,systematic
mnhaji,systematic
man8aji,systematic
mawDou3i,objective
moDo3i,objective
mowDo3i,objective
momyyiz,characteristic
fazg,damp
7ssas,delicate
momill,dull
si7ri,magic
mnirvi,upset
awwal,premier
kayD77ek,fun
ra2i3,splendid
khddam,operational
stichaari,advisory
stichari,advisory
bida2i,primitive
bidaa2i,primitive
idioloji,ideological
idyoloji,ideological
tiknoloji,technological
ani9,neat
mo3akis,contrary
mlas9,adjacent
3odwani,hostile
mitli,gay
2aamn,peaceful
kaykhle3,horrible
joghrafi,geographical
dinamiki,dynamic
mota7rrik,dynamic
momtaz,super
ghayr mobachir,indirect
tamiin,precious
tamin,precious
ghali,precious
ghaali,precious
ml7ouD,notable
mo7ddad,definite
mo2sif,unfortunate
fnni,artistic
fenni,artistic
fanni,artistic
mighnaTisi,magnetic
mighnaaTisi,magnetic
makayt9adach,endless
charis,fierce
khfif,mild
mj88d,loud
mje88ed,loud
Tamou7,ambitious
bl8Dra,verbal
naDj,mature
naaDj,mature
chr3i,legitimate
char3i,legitimate
cher3i,legitimate
m3rouf,well-known
m3rof,well-known
mo7rij,awkward
raDi,content
tjribi,empirical
S3ib,harsh
9as7,harsh
mt3aaTf,sympathetic
mt3aTef,sympathetic
sti3mari,colonial
khbit,evil
chirrir,evil
b7ri,naval
be7ri,naval
mlaa2em,favorable
mla2m,favorable
wsT,mid
wesT,mid
wasT,mid
ghayb,absent
was3,vague
waas3,vague
3ir9i,racial
tmtiili,representative
tmtili,representative
temtiili,representative
ba8t,faint
7ayawi,lively
saa7ili,coastal
sa7ili,coastal
mt7mmes,enthusiastic
met7emmes,enthusiastic
met7ammes,enthusiastic
met7ammas,enthusiastic
feminist,feminist
Solb,rigid
3ami9,profound
8aa2il,immense
nisbi,comparative
gharib,peculiar
mofid,beneficial
motan99il,mobile
montij,productive
sT7i,shallow
7ariiS,eager
7ariS,eager
remzi,symbolic
ramzi,symbolic
m3tadl,moderate
9aatil,fatal
mjmou3,compact
morbi7,profitable
monafis,rival
jozay2i,molecular
idaari,managerial
ddakhili,interior
khTTi,linear
makafich,insufficient
mo288al,eligible
m3nfj,uncomfortable
mamori7ch,uncomfortable
mokhliS,loyal
morta9ab,prospective
tlwalidin,parental
maali,fiscal
tlflous,fiscal
khawi,blank
9aasi,cruel
w7chi,cruel
we7chi,cruel
mtnww3,diverse
mtnowwe3,diverse
nabil,noble
motaghyyir,variable
mt2aSSel,inherent
mt2SSal,inherent
kham,crude
mchbou8,suspicious
mchbo8,suspicious
nti9a2i,selective
nti9aa2i,selective
mfSSl,elaborate
mtwsseT,intermediate
mtwesseT,intermediate
ghaamiD,mysterious
ghamiD,mysterious
flsafi,philosophical
falsafi,philosophical
felsafi,philosophical
mt3mmed,deliberate
7anoun,tender
m7DouD,fortunate
m7DoD,fortunate
m7mi,protective
mo9ddas,sacred
sa2il,liquid
saa2il,liquid
chmsi,solar
chmsy,solar
chemsi,solar
mamofri7ch,unpleasant
ryaDyati,mathematical
ryaDyaati,mathematical
difaa3i,defensive
difa3i,defensive
mi3maari,architectural
mi3mari,architectural
ghayr monaasib,inappropriate
ghayr monasib,inappropriate
yadawi,manual
da2iri,circular
daa2iri,circular
moSirr,persistent
motaabir,persistent
ilaahi,divine
ilaa8i,divine
ilahi,divine
makaani,spatial
mam9bolch,unacceptable
mam9boulch,unacceptable
msmoum,toxic
mo288al,competent
mtkaml,integral
mtkaaml,integral
mam9yousch,intact
mam9yosch,intact
mkhtar,select
m3awd,redundant
zayd,redundant
za3m,bold
za3em,bold
8aawi,amateur
8awi,amateur
gddami,forward
gddaami,forward
9ddami,forward
9ddaami,forward
mabaynch,invisible
mabayench,invisible
mabayanch,invisible
idraaki,cognitive
idraki,cognitive
m2sawi,tragic
m2saawi,tragic
mofji3,tragic
mofji3,tragic
tnDimi,regulatory
tanDiimi,regulatory
tenDiimi,regulatory
tnDiimi,regulatory
7aasim,decisive
7asim,decisive
i9limi,territorial
mnTa9i,territorial
fay9,awake
faye9,awake
faya9,awake
daakhili,inland
mo7tamal,probable
3ksi,adverse
3eksi,adverse
mo7taram,respectable
sakn,resident
saakn,resident
mo9iim,resident
mo9im,resident
madani,civilian
ortodoxi,orthodox
mt3SSeb,orthodox
tabt,static
taabt,static
wagf,static
mtwaf9,compatible
mtwaaf9,compatible
sababi,causal
Dimni,implicit
mamfrouchch,implicit
9diim,old-fashioned
jamaali,aesthetic
jamali,aesthetic
mbogs,aesthetic
mjmo3,aggregate
mjmou3,aggregate
r9i9,slim
Twil,lengthy
mozdawij,dual
machi mawDoo3i,subjective
machi mawDo3i,subjective
ra2i3,fantastic
mafrasoch,unaware
mawa3ich,unconscious
akhla9i,ethical
akhlaa9i,ethical
mstili,fashionable
mstyli,fashionable
mjhoul,anonymous
mj8oul,anonymous
mj8ol,anonymous
fchkel,exotic
gharib,exotic
moraa8i9,teenage
mora8i9,teenage
morahi9,teenage
ghali,costly
kaariti,disastrous
kariti,disastrous
msta9ll,autonomous
msta9ell,autonomous
automatic,autonomous
otomatik,autonomous
radd lbal,cautious
dyal ddarra,atomic
sirri,confidential
7m9,foolish
7me9,foolish
mlwwen,colorful
mlwwn,colorful
bnin,delicious
3ami9,thorough
moghram,fond
jdid,novel
mntaDm,uniform
mntaDem,uniform
mtnas9,coherent
mtnase9,coherent
majiid,glorious
majid,glorious
nfsi,psychiatric
nefsi,psychiatric
mo3jami,lexical
tTawwori,evolutionary
kayrbbi,disciplinary
t2dibi,disciplinary
3tibaaTyan,arbitrary
kayfrre7,delightful
kayfrr7,delightful
kayfarra7,delightful
mtchrred,homeless
chmkar,homeless
gharib,weird
ghariib,weird
fa2iD,excess
zyada,excess
7amimi,intimate
7amiimi,intimate
8a2il,formidable
tdriji,gradual
tdriiji,gradual
tedriiji,gradual
flkharj,outdoor
mi8ani,vocational
tlkhdma,vocational
3aalami,worldwide
3alami,worldwide
7chman,ashamed
tnDimi,organizational
khbit,wicked
takhayyoli,imaginative
3ajib,bizarre
3ajiib,bizarre
ni8a2i,eventual
ni8aa2i,eventual
mrtajl,spontaneous
makaytSnne3ch,spontaneous
wizari,ministerial
wizaari,ministerial
mobtakar,innovative
mafaa8iimi,conceptual
madani,civic
7eyy,vivid
tnna7w,grammatical
mokhliS,faithful
mtwsseT,medium
mtwesseT,medium
motawssiT,medium
tkmili,supplementary
tkmiili,supplementary
jyoloji,geological
jyolouji,geological
bnnaa2,constructive
bnna2,constructive
kaybni,constructive
ghayr mnTi9i,unreasonable
ghayr manTi9i,unreasonable
Darori,mandatory
Darouri,mandatory
mchmmech,sunny
ta3aawoni,co-operative
solouki,behavioral
soloki,behavioral
mabaghich,unwilling
S7i7,vigorous
khtiyari,optional
khtiari,optional
aSli,indigenous
manaje7ch,unsuccessful
mam2ddebch,rude
mam2eddebch,rude
mamrbbich,rude
mamrebbich,rude
borjwazi,bourgeois
bourjwazi,bourgeois
3ilmani,secular
momti3,enjoyable
mo299at,provisional
mow99at,provisional
mosaa8im,instrumental
mosa8im,instrumental
mosaahim,instrumental
akhir,terminal
akhiir,terminal
ni8aa2i,terminal
ni8a2i,terminal
niha2i,terminal
3amali,handy
mokttaf,dense
fotoghrafi,photographic
tlbaladia,municipal
mt7mmes,passionate
mt7mms,passionate
mt7emmes,passionate
m7doud,restrictive
wa7id,lone
daakhili,indoor
mtwetter,tense
mtwtter,tense
mtwttr,tense
blcontra,contractual
ta3aa9odi,contractual
ftiraDi,virtual
ftiraaDi,virtual
khaTir,grave
atari,archaeological
bayn,trivial
kay8ezz,portable
tafaa3oli,interactive
tafa3oli,interactive
w7chi,vicious
we7chi,vicious
chkli,nominal
chekli,nominal
makattnsach,memorable
ka2ib,bleak
t7tani,inferior
tlmSaren,intestinal
mokmmil,complementary
mo8oub,talented
mohoub,talented
mow8ob,talented
mow8oub,talented
abadi,eternal
jasadi,bodily
si7ri,magical
mf8oum,understandable
mfhoum,understandable
mfhom,understandable
mf8om,understandable
bayn,noticeable
mawaD7ch,ambiguous
aSli,authentic
momkina,feasible
magaddch,incapable
ma9aderch,incapable
ma9adrch,incapable
komik,comic
moD7ik,comic
komidi,comic
sti3mari,colonial
sti3maai,colonial
mn3azl,solitary
3abati,vain
moDirr,harmful
ghamD,obscure
khawi,vacant
chyaTa,surplus
kaytlSS9,sticky
kaytlSSe9,sticky
khfif,swift
sri3,swift
moSghghara,miniature
bzzaf,ample
machi Tabi3i,abnormal
3orfi,customary
kayDerr,sore
kaydrr,sore
mochi33,radioactive
kay9tel,deadly
kay9tl,deadly
kay9tal,deadly
m9boul,plausible
m9bol,plausible
9aabil,prone
jtima3i,sociological
jtimaa3i,sociological
magaddch,helpless
radd lbal,wary
mam3rofch,unfamiliar
jira7i,surgical
jiraa7i,surgical
mo3awin,supportive
mo2nnat,feminine
kayfrchekh,destructive
kayferchekh,destructive
kayfrchkh,destructive
kiwalo,petty
tonaa2i,bilateral
tona2i,bilateral
baghi,would-be
naatj,consequent
9wi,potent
wa3r,potent
S7i7,potent
fasd,rotten
faasd,rotten
m3foun,rotten
m3fon,rotten
waa9i3i,factual
wa9i3i,factual
3amali,pragmatic
pragmati,pragmatic
ghayr morDi,unsatisfactory
w9t joz2i,part-time
mi8ani,occupational
marin,flexible
mch8or,prominent
m3aarD,reluctant
m3arD,reluctant
mojrrad,abstract
laa2i9,decent
jjay,forthcoming
mn7adr,steep
kaytTbbe9,applicable
kaytTebbe9,applicable
kasoul,passive
kasol,passive
9bi7,grim
ch8eb,blond
ch8b,blond
droka,imminent
drok,imminent
D3if,vulnerable
mobrziT,rowdy
frra3,talkative
mozwwir,falsifier
mo8jjij,rowdy
mo3nfij,rowdy
msbiTr,crazy
m7chchech,drugged
mSr8eT,scorner
mSer8eT,scorner
mSer8aT,scorner
9walbi,trickster
bkkay,crybaby
mokhlwiD,deceitful
7rayfi,skilled
7rayfi,adroit
mawaD7ch,unclear
8aamichi,peripheral
hamichi,peripheral
motaw99a3,predictable
8ojoumi,offensive
8ojomi,offensive
mtna9D,absurd
mawsimi,seasonal
jbbar,mighty
jbbaar,mighty
mrowwen,uneasy
mrwwen,uneasy
baSari,optical
lani8a2i,infinite
laani8aa2i,infinite
mdikori,decorative
kammi,quantitative
mtnaasb,proportional
biro9raTi,bureaucratic
kayghir,jealous
khayali,fancy
mghyar,jealous
ldid,delicious
bayn,obvious
mftou7,open
meftou7,open
sad,closed
sadd,closed
mesdoud,closed
msdoud,closed
msdod,closed
m7loul,open
m7lol,open
me7loul,open
me7lol,open
ghaleT,wrong
ghaaleT,wrong
mbeddel,different
mbddl,different
S7i7,strong
mwellef,used to
